0ns 1 0
21s 1 1
21.830524928s 1 2
21.83840007s 1 3
21.850223411s 1 4
21.863540508s 1 5
21.878088215s 1 6
21.888546116s 1 7
21.90502181s 1 8
21.916908174s 1 9
21.936299108s 1 10
21.948700537s 1 11
21.962654071s 1 12
21.977883038s 1 13
21.999083733s 1 14
22.014674328s 1 15
22.035641224s 1 16
22.051649603s 1 17
22.086256782s 1 18
22.100347527s 1 19
22.114573861s 1 20
22.128213181s 1 21
22.146416851s 1 22
22.159066883s 1 23
22.173935521s 1 24
22.18782919s 1 25
22.212275609s 1 26
22.225561227s 1 27
22.24159598s 1 28
22.256712444s 1 29
22.273449672s 1 30
22.291021877s 1 31
22.307371207s 1 32
22.323695126s 1 33
22.372462927s 1 34
22.394070551s 1 35
22.415721341s 1 36
22.438991127s 1 37
22.45609895s 1 38
