0ns 1 0
24s 1 1
24.291969539s 1 2
24.29994439s 1 3
24.311023004s 1 4
24.320379652s 1 5
24.332582029s 1 6
24.342369142s 1 7
24.353410253s 1 8
24.363825812s 1 9
24.382234647s 1 10
24.393073309s 1 11
24.404834509s 1 12
24.415231s 1 13
24.435447254s 1 14
24.446729982s 1 15
24.459308734s 1 16
24.470890522s 1 17
24.501226778s 1 18
24.511681621s 1 19
24.524257566s 1 20
24.537121529s 1 21
24.556871789s 1 22
24.571033498s 1 23
24.583347191s 1 24
24.596003636s 1 25
24.616847603s 1 26
24.62806635s 1 27
24.641786052s 1 28
24.65570073s 1 29
24.672380501s 1 30
24.685106503s 1 31
24.700725852s 1 32
24.712938262s 1 33
24.7498309s 1 34
24.766194788s 1 35
24.784256004s 1 36
24.806732819s 1 37
24.825680451s 1 38
