0ns 1 0
27s 1 1
27.277225457s 1 2
27.284627363s 1 3
27.295348183s 1 4
27.30528892s 1 5
27.317731575s 1 6
27.327661781s 1 7
27.339609451s 1 8
27.350766167s 1 9
27.370636812s 1 10
27.382304935s 1 11
27.395770204s 1 12
27.407338668s 1 13
27.426062117s 1 14
27.441097315s 1 15
27.459706491s 1 16
27.472483182s 1 17
27.506541178s 1 18
27.518737725s 1 19
27.533184295s 1 20
27.546304493s 1 21
27.574148471s 1 22
27.590981848s 1 23
27.611177166s 1 24
27.624028896s 1 25
27.648352275s 1 26
27.661771435s 1 27
27.677478701s 1 28
27.694719533s 1 29
27.716217061s 1 30
27.731973818s 1 31
27.752640407s 1 32
27.767300088s 1 33
27.808318631s 1 34
27.827578636s 1 35
27.850178607s 1 36
27.873473828s 1 37
27.903213281s 1 38
