0ns 1 0
22s 1 1
22.567614013s 1 2
22.574703816s 1 3
22.586041882s 1 4
22.59771094s 1 5
22.61252711s 1 6
22.624222833s 1 7
22.640360327s 1 8
22.655702603s 1 9
22.67759907s 1 10
22.692872139s 1 11
22.709047549s 1 12
22.725034421s 1 13
22.744232249s 1 14
22.760869454s 1 15
22.778991477s 1 16
22.800108873s 1 17
22.836463043s 1 18
22.854542606s 1 19
22.874513657s 1 20
22.892865557s 1 21
22.916380645s 1 22
22.936320442s 1 23
22.959159847s 1 24
22.982291762s 1 25
23.009187675s 1 26
23.029436406s 1 27
23.0532736s 1 28
23.076064934s 1 29
23.103958665s 1 30
23.1261026s 1 31
23.151389103s 1 32
23.175646505s 1 33
23.222479034s 1 34
23.253266182s 1 35
23.284045247s 1 36
23.312622454s 1 37
23.340228986s 1 38
