1,52
2,47
3,22
4,34
5,23
6,43
7,28
8,33
9,29
10,45
11,26
12,51
13,29
14,22
15,31
16,27
17,29
18,28
19,23
20,35
21,41
22,22
23,22
24,26
25,26
26,17
27,27
28,25
29,33
30,23
31,29
32,21
33,23
34,23
35,23
36,21
37,28
38,21
39,48
40,30
41,24
42,27
43,21
44,28
45,22
46,18
47,24
48,19
49,18
50,21
51,27
52,18
53,79
54,35
55,19
56,24
57,26
58,19
59,22
60,22
61,22
62,23
63,37
64,27
65,32
66,23
67,30
68,24
69,21
70,27
71,20
72,18
73,24
74,21
75,79
76,20
77,17
78,21
79,21
80,20
81,24
82,24
83,32
84,30
85,37
86,27
87,19
88,612
89,26
90,29
91,25
92,21
93,31
94,63
95,16
96,31
97,35
98,25
99,39
100,25
101,27
102,36
103,25
104,24
105,26
106,33
107,26
108,27
109,23
110,25
111,53
112,25
113,23
114,71
115,55
116,21
117,27
118,47
119,24
120,25
121,27
122,35
123,24
124,22
125,49
126,45
127,41
128,32
129,31
130,31
131,28
132,37
133,26
134,27
135,62
136,58
137,18
138,24
139,33
140,23
141,37
142,18
143,34
144,24
145,22
146,23
147,36
148,32
149,21
150,23
151,44
152,23
153,6
154,18
155,23
156,23
157,22
158,20
159,26
160,24
161,24
162,35
163,22
164,22
165,30
166,27
167,28
168,31
169,66
170,27
171,24
172,44
173,21
174,20
175,22
176,21
177,25
178,31
179,20
180,27
181,51
182,43
183,31
184,24
185,22
186,35
187,55
188,22
189,23
190,49
191,26
192,26
193,27
194,31
195,26
196,34
197,28
198,31
199,23
200,30
201,20
202,24
203,25
204,21
