21 2 0
27 2 2
28 7 4
29 12 11
30 9 23
31 13 32
32 23 45
33 19 68
34 33 87
35 33 120
36 42 153
37 50 195
38 42 245
39 72 287
40 51 359
41 55 410
42 51 465
43 58 516
44 50 574
45 56 624
46 63 680
47 54 743
48 44 797
49 49 841
50 55 890
51 58 945
52 28 1003
53 37 1031
54 42 1068
55 47 1110
56 30 1157
57 51 1187
58 42 1238
59 43 1280
60 42 1323
61 42 1365
62 47 1407
63 53 1454
64 49 1507
65 37 1556
66 39 1593
67 42 1632
68 29 1674
69 33 1703
70 31 1736
71 44 1767
72 45 1811
73 37 1856
74 40 1893
75 40 1933
76 34 1973
77 38 2007
78 39 2045
79 45 2084
80 35 2129
81 38 2164
82 37 2202
83 27 2239
84 29 2266
85 33 2295
86 30 2328
87 28 2358
88 33 2386
89 23 2419
90 31 2442
91 32 2473
92 24 2505
93 27 2529
94 28 2556
95 45 2584
96 27 2629
97 33 2656
98 38 2689
99 39 2727
100 19 2766
101 31 2785
102 33 2816
103 27 2849
104 21 2876
105 25 2897
106 26 2922
107 28 2948
108 25 2976
109 21 3001
110 27 3022
111 28 3049
112 26 3077
113 25 3103
114 22 3128
115 17 3150
116 23 3167
117 22 3190
118 21 3212
119 21 3233
120 20 3254
121 27 3274
122 20 3301
123 16 3321
124 20 3337
125 24 3357
126 16 3381
127 22 3397
128 17 3419
129 17 3436
130 14 3453
131 15 3467
132 24 3482
133 10 3506
134 18 3516
135 15 3534
136 16 3549
137 5 3565
138 11 3570
139 16 3581
140 19 3597
141 13 3616
142 6 3629
143 7 3635
144 7 3642
145 13 3649
146 8 3662
147 6 3670
148 11 3676
149 6 3687
150 3 3693
151 7 3696
152 7 3703
153 7 3710
154 5 3717
155 3 3722
156 4 3725
157 2 3729
158 3 3731
159 1 3734
160 5 3735
161 1 3740
162 3 3741
163 1 3744
164 2 3745
165 1 3747
166 5 3748
167 1 3753
168 4 3754
169 1 3758
170 3 3759
171 1 3762
172 4 3763
173 2 3767
174 3 3769
175 2 3772
176 7 3774
177 3 3781
178 7 3784
179 2 3791
180 3 3793
181 4 3796
182 3 3800
183 3 3803
184 1 3806
185 3 3807
186 3 3810
187 2 3813
188 4 3815
189 4 3819
190 5 3823
191 7 3828
192 1 3835
193 1 3836
194 4 3837
195 2 3841
196 5 3843
197 1 3848
198 1 3849
199 3 3850
200 4 3853
202 5 3857
203 2 3862
204 3 3864
205 1 3867
208 1 3868
210 4 3869
211 1 3873
214 1 3874
215 1 3875
216 2 3876
217 1 3878
219 2 3879
223 1 3881
225 1 3882
226 1 3883
229 1 3884
232 1 3885
234 1 3886
235 1 3887
236 1 3888
237 1 3889
238 1 3890
239 1 3891
244 1 3892
245 1 3893
246 3 3894
247 1 3897
248 1 3898
249 1 3899
250 1 3900
265 1 3901
272 1 3902
275 1 3903
279 1 3904
298 2 3905
301 1 3907
304 1 3908
306 1 3909
307 1 3910
324 1 3911
339 1 3912
353 1 3913
395 1 3914
407 1 3915
408 1 3916
523 1 3917
707 1 3918
1462 1 3919
7437 1 3920
