0ns 1 0
52s 1 1
52.091211009s 1 2
52.153055673s 1 3
52.21894153s 1 4
52.276660046s 1 5
52.338223347s 1 6
52.399151776s 1 7
52.457224342s 1 8
52.512083149s 1 9
52.581760499s 1 10
52.639292002s 1 11
52.693726724s 1 12
52.754985594s 1 13
52.820872472s 1 14
52.898508981s 1 15
52.955119256s 1 16
53.014783994s 1 17
53.111428072s 1 18
53.168126772s 1 19
53.225504331s 1 20
53.286457137s 1 21
53.349336135s 1 22
53.415802148s 1 23
53.475884645s 1 24
53.536979563s 1 25
53.608747277s 1 26
53.670305055s 1 27
53.731275457s 1 28
53.803504303s 1 29
53.874170531s 1 30
53.956333063s 1 31
54.02130915s 1 32
54.084552508s 1 33
54.193923062s 1 34
54.258985571s 1 35
54.322265438s 1 36
54.385066761s 1 37
54.443946927s 1 38
54.488881728s 1 39
54.531023864s 1 40
54.576953451s 1 41
54.636935968s 1 42
54.677017202s 1 43
54.726167273s 1 44
54.777818611s 1 45
54.828477002s 1 46
54.873214885s 1 47
54.917617192s 1 48
54.961199129s 1 49
55.034665068s 1 50
55.074231215s 1 51
55.123556255s 1 52
55.172253887s 1 53
55.225444202s 1 54
55.272330033s 1 55
55.321493224s 1 56
55.369741689s 1 57
55.432225943s 1 58
55.480424385s 1 59
55.529866252s 1 60
55.589121933s 1 61
55.653438012s 1 62
55.707249635s 1 63
55.762906614s 1 64
55.818267667s 1 65
55.911301554s 1 66
55.983775393s 1 67
56.045178793s 1 68
56.110459922s 1 69
56.175299589s 1 70
56.23155457s 1 71
56.289911229s 1 72
56.346291229s 1 73
56.414562532s 1 74
56.461874208s 1 75
56.510391584s 1 76
56.559119888s 1 77
56.608627004s 1 78
56.65390281s 1 79
56.69590919s 1 80
56.745625567s 1 81
56.806448173s 1 82
56.847773309s 1 83
56.897729206s 1 84
56.944340109s 1 85
56.99321012s 1 86
57.035980944s 1 87
57.078781615s 1 88
57.125301401s 1 89
57.174079776s 1 90
57.211950615s 1 91
57.257379665s 1 92
57.310903548s 1 93
57.365905453s 1 94
57.409650834s 1 95
57.450397099s 1 96
57.497181831s 1 97
57.585296093s 1 98
57.636577313s 1 99
57.676051427s 1 100
57.724022967s 1 101
57.768068598s 1 102
57.811567454s 1 103
57.855967136s 1 104
57.895249728s 1 105
57.950991059s 1 106
57.991242971s 1 107
58.04040624s 1 108
58.091209568s 1 109
58.142221929s 1 110
58.18531604s 1 111
58.2330255s 1 112
58.278663649s 1 113
58.345924265s 1 114
58.390666722s 1 115
58.434173364s 1 116
58.485478714s 1 117
58.534569878s 1 118
58.579912097s 1 119
58.627513748s 1 120
58.676239508s 1 121
58.730715927s 1 122
58.778293864s 1 123
58.826998095s 1 124
58.887090195s 1 125
58.94904413s 1 126
59.00420626s 1 127
59.057503329s 1 128
59.119162188s 1 129
