6029,0ns
21,21s
15,21.830524928s
21,21.83840007s
15,21.850223411s
34,21.863540508s
14,21.878088215s
14,21.888546116s
13,21.90502181s
17,21.916908174s
12,21.936299108s
14,21.948700537s
13,21.962654071s
24,21.977883038s
13,21.999083733s
16,22.014674328s
15,22.035641224s
16,22.051649603s
17,22.086256782s
16,22.100347527s
16,22.114573861s
48,22.128213181s
21,22.146416851s
21,22.159066883s
23,22.173935521s
17,22.18782919s
15,22.212275609s
14,22.225561227s
15,22.24159598s
6,22.256712444s
8,22.273449672s
4,22.291021877s
3,22.307371207s
3,22.323695126s
0,22.372462927s
0,22.394070551s
0,22.415721341s
0,22.438991127s
0,22.45609895s
