6763,0ns
11,27s
18,27.277225457s
15,27.284627363s
18,27.295348183s
12,27.30528892s
34,27.317731575s
11,27.327661781s
14,27.339609451s
13,27.350766167s
27,27.370636812s
16,27.382304935s
20,27.395770204s
12,27.407338668s
24,27.426062117s
13,27.441097315s
15,27.459706491s
16,27.472483182s
21,27.506541178s
15,27.518737725s
20,27.533184295s
14,27.546304493s
41,27.574148471s
19,27.590981848s
22,27.611177166s
23,27.624028896s
29,27.648352275s
23,27.661771435s
26,27.677478701s
24,27.694719533s
11,27.716217061s
8,27.731973818s
4,27.752640407s
2,27.767300088s
8,27.808318631s
1,27.827578636s
1,27.850178607s
0,27.873473828s
0,27.903213281s
