1 18 0
5 14 18
6 16 32
7 24 48
8 32 72
9 43 104
10 35 147
11 47 182
12 33 229
13 31 262
14 28 293
15 28 321
16 24 349
17 22 373
18 24 395
19 14 419
20 17 433
21 16 450
22 6 466
23 5 472
24 7 477
25 8 484
26 4 492
27 6 496
28 3 502
29 13 505
30 5 518
31 5 523
32 3 528
33 11 531
34 3 542
35 3 545
36 4 548
37 5 552
38 1 557
39 4 558
40 3 562
41 1 565
42 1 566
43 1 567
44 2 568
45 5 570
46 2 575
47 1 577
48 2 578
52 1 580
53 1 581
54 1 582
55 1 583
56 2 584
57 1 586
59 1 587
61 3 588
62 1 591
64 2 592
65 2 594
71 2 596
72 1 598
73 1 599
75 5 600
77 1 605
81 2 606
90 1 608
96 1 609
114 1 610
134 1 611
137 1 612
144 1 613
153 1 614
163 1 615
168 1 616
246 1 617
1166 1 618
