0 28037 0
1 19912 28037
2 5828 47949
3 2740 53777
4 1350 56517
5 691 57867
6 400 58558
7 245 58958
8 181 59203
9 137 59384
10 99 59521
11 59 59620
12 58 59679
13 67 59737
14 28 59804
15 31 59832
16 18 59863
17 10 59881
18 19 59891
19 20 59910
20 14 59930
21 11 59944
22 9 59955
23 7 59964
24 4 59971
25 5 59975
26 2 59980
27 3 59982
29 1 59985
31 1 59986
33 1 59987
35 1 59988
36 1 59989
38 1 59990
39 1 59991
56 1 59992
59 1 59993
64 1 59994
70 1 59995
78 1 59996
109 1 59997
113 1 59998
218 1 59999
