6432,0ns
72,50.041049467s
86,50.126602376s
55,50.187190818s
188,50.248866005s
65,50.429696505s
68,50.494986563s
65,50.550224189s
71,50.607071598s
58,50.671532206s
71,50.732025594s
74,50.78800932s
69,50.858231693s
71,50.928494814s
81,51.004818247s
86,51.072256628s
104,51.134239149s
74,51.208045526s
75,51.268070255s
68,51.321773691s
56,51.392218085s
66,51.459128404s
45,51.525181701s
54,51.592133502s
51,51.658188697s
44,51.736763461s
42,51.801697271s
53,51.872963859s
41,51.959503688s
46,52.046414059s
41,52.132601482s
63,52.220734932s
54,52.289378711s
36,52.361629906s
41,52.4233102s
49,52.485594138s
45,52.543809108s
44,52.740718332s
42,52.791133863s
51,52.835511793s
50,52.881227653s
48,52.925626181s
147,52.977690319s
49,53.122603757s
50,53.170335888s
68,53.216918977s
82,53.261983563s
63,53.30526217s
51,53.355165395s
166,53.40661046s
46,53.555513164s
176,53.602761914s
39,53.851317584s
40,53.912986708s
40,53.968867702s
35,54.029899039s
50,54.083682429s
54,54.136066149s
31,54.182818456s
37,54.242594631s
33,54.288574182s
38,54.327818943s
30,54.360242267s
34,54.397367023s
33,54.437443751s
92,54.479075958s
47,54.616030276s
37,54.653493018s
40,54.690975644s
145,54.724379891s
33,54.82728294s
32,54.859605612s
32,54.897154604s
35,54.92563761s
29,54.953474857s
33,55.000819709s
36,55.03764179s
102,55.077768552s
38,55.220429689s
36,55.256903234s
39,55.289927865s
37,55.322131268s
51,55.356963221s
45,55.387845977s
34,55.42074001s
36,55.455193967s
45,55.495890784s
32,55.531675393s
41,55.560995971s
33,55.598122252s
43,55.63480261s
37,55.674835572s
36,55.711369827s
36,55.759089241s
48,55.804194979s
45,55.842953451s
53,55.879607511s
46,55.923151131s
64,55.958119659s
73,55.998041543s
62,56.032629079s
51,56.075433488s
58,56.113566336s
203,56.152582402s
158,56.332482458s
52,56.518031085s
50,56.578390892s
61,56.631390092s
155,56.692233546s
32,56.847756729s
34,56.896354991s
35,56.948204102s
35,57.002472789s
34,57.05539853s
26,57.107931929s
38,57.158019372s
31,57.214123504s
33,57.262985323s
27,57.322316385s
45,57.373226687s
96,57.408026436s
50,57.515719505s
48,57.551920341s
27,57.578802756s
32,57.615580875s
31,57.646977781s
