5612,0ns
60,16.83571227s
77,16.877115955s
57,16.945908792s
101,17.011622951s
55,17.081950167s
60,17.148768251s
57,17.207431035s
67,17.272855513s
66,17.369491606s
77,17.410200672s
63,17.469881094s
77,17.537200414s
60,17.61678687s
64,17.678838517s
90,17.751323831s
77,17.838508495s
67,17.909589623s
85,17.954611344s
67,18.012778454s
118,18.076426324s
81,18.141161357s
70,18.21760492s
63,18.286468223s
60,18.352893646s
57,18.42372326s
47,18.487444542s
45,18.566462992s
56,18.652173492s
45,18.723814693s
51,18.807114231s
40,18.875900979s
49,18.954061469s
42,19.066333617s
41,19.139872095s
39,19.206739054s
64,19.272238941s
39,19.346003845s
42,19.399384834s
41,19.444122921s
1084,19.499836183s
37,19.544297902s
37,19.591993494s
36,19.643203691s
48,19.691366803s
36,19.735386627s
38,19.778084447s
36,19.817960964s
51,19.880155565s
49,19.944036472s
44,19.962088993s
42,20.004832819s
85,21.091692145s
64,21.130490865s
52,21.167941406s
49,21.204296116s
59,21.251031088s
54,21.289155853s
56,21.346291567s
47,21.363707543s
129,21.412872693s
32,21.634126119s
42,21.699832785s
34,21.753089494s
33,21.803727398s
33,21.863310393s
53,21.918276663s
33,21.974267325s
36,22.01982895s
39,22.078887228s
38,22.118709423s
33,22.152915821s
34,22.18513581s
30,22.226450119s
96,22.262561264s
30,22.381880184s
41,22.417202931s
36,22.452131424s
120,22.492100107s
36,22.598585562s
31,22.629382232s
33,22.66623614s
47,22.696017489s
32,22.726551538s
36,22.755453502s
35,22.797196412s
109,22.833939664s
33,22.948857086s
51,22.989190889s
33,23.02124415s
38,23.054787359s
39,23.102798445s
67,23.133135351s
29,23.171431187s
38,23.205757336s
38,23.2489446s
49,23.286034489s
40,23.316199591s
39,23.346516368s
39,23.401243841s
49,23.435064422s
39,23.473741558s
40,23.511399213s
41,23.570839265s
59,23.610586501s
45,23.645487795s
47,23.680369411s
48,23.729836798s
93,23.773088969s
69,23.813944659s
59,23.854171867s
61,23.903084565s
215,23.941962861s
162,24.129175349s
61,24.315307796s
60,24.387357596s
58,24.43947846s
160,24.503474882s
32,24.676125557s
39,24.724615654s
31,24.785680163s
43,24.835294457s
32,24.887276409s
37,24.94298616s
32,25.003791812s
43,25.066602916s
30,25.114866001s
37,25.164359879s
30,25.22657964s
123,25.262689712s
34,25.376267884s
90,25.409185732s
31,25.445746044s
36,25.477238982s
31,25.523015692s
45,25.553505058s
36,25.591107101s
39,25.622496927s
39,25.672285503s
53,25.710326161s
37,25.744676902s
126,25.780276349s
44,25.939418117s
43,25.970338722s
39,26.015260424s
58,26.051131602s
32,26.092174771s
37,26.130933434s
30,26.181485031s
43,26.221556468s
34,26.262511578s
39,26.303272804s
120,26.34677346s
35,26.473299759s
193,26.565965997s
43,26.677941897s
133,26.752551682s
52,26.787619922s
48,26.838218567s
43,26.87259815s
39,26.908077045s
37,26.949743065s
36,27.011251876s
45,27.05766143s
31,27.100500994s
38,27.142393043s
32,27.227905252s
46,27.275497559s
39,27.323197586s
42,27.376131538s
41,27.419442034s
62,27.457939126s
33,27.499175089s
42,27.536690293s
36,27.581103376s
49,27.614007759s
43,27.651297062s
41,27.68455666s
45,27.730162112s
59,27.769337611s
39,27.811361362s
43,27.852657953s
42,27.910184052s
62,27.949754005s
43,27.990683806s
43,28.027758634s
44,28.074212354s
88,28.119652891s
32,28.161568818s
120,28.204177222s
41,28.348197176s
54,28.391180472s
47,28.4540505s
55,28.49645031s
38,28.539923622s
43,28.583664315s
45,28.670392037s
56,28.708906337s
43,28.747451552s
43,28.78333954s
43,28.826106292s
68,28.866730317s
39,28.912530882s
48,28.962368116s
45,29.020313395s
56,29.064658601s
44,29.108326823s
46,29.152490987s
47,29.206663273s
57,29.253135282s
38,29.297689944s
48,29.341730053s
44,29.409590868s
67,29.449047531s
60,29.493165s
58,29.541935563s
63,29.596239275s
113,29.642219153s
71,29.691256056s
74,29.736385755s
80,29.791707272s
65,29.836030045s
70,29.88131637s
60,29.926663941s
187,29.993143803s
79,30.172162217s
59,30.282767638s
4298,30.362060906s
67,30.43748281s
59,30.519266684s
60,30.585625778s
73,30.656696907s
65,30.713485838s
63,30.779431633s
56,30.841112247s
65,30.903962114s
59,30.981957207s
187,31.040610557s
61,35.475110881s
61,35.535493192s
52,35.607651707s
87,35.674652429s
69,35.737410478s
78,35.788548756s
74,35.85936895s
86,35.915402649s
60,35.993282016s
39,36.046028331s
45,36.105364219s
40,36.163982301s
53,36.226990213s
31,36.27966064s
39,36.369738841s
40,36.4361832s
50,36.514801078s
44,36.572799728s
34,36.677745051s
55,36.732875199s
37,36.774844349s
44,36.827420554s
38,36.866394579s
58,36.903333629s
31,36.953048256s
52,36.992942962s
36,37.031442416s
38,37.081188551s
44,37.116897891s
138,37.163348084s
41,37.29898s
36,37.334548837s
43,37.394009038s
70,37.428391081s
44,37.48361251s
61,37.513019964s
49,37.55850202s
81,37.601777207s
63,37.650379043s
53,37.685357667s
46,37.739879411s
41,37.778374475s
58,37.816530739s
42,37.862042782s
48,37.933752632s
45,37.973902249s
45,38.038455841s
51,38.074010584s
53,38.167624001s
54,38.220873343s
41,38.28239624s
34,38.334599399s
46,38.374014521s
60,38.42086508s
40,38.47593231s
43,38.513672251s
40,38.569788605s
55,38.615404929s
41,38.663919635s
52,38.708135139s
32,38.761677285s
59,38.810416652s
32,38.853248954s
51,38.897232542s
55,38.959294632s
53,38.99874911s
50,39.043938756s
41,39.08337161s
126,39.136866459s
113,39.1793929s
123,39.229571601s
65,39.35708961s
33,39.407223848s
66,39.45087245s
34,39.51299387s
69,39.56679749s
28,39.609924308s
46,39.69867486s
29,39.846775385s
49,39.893387166s
31,39.930218261s
35,39.972669836s
29,40.039393899s
55,40.06936986s
28,40.140374885s
101,40.171999754s
29,40.319118356s
35,40.347970002s
135,40.39734178s
113,40.494901423s
104,40.616260261s
104,40.708725632s
91,40.745223209s
103,40.773488949s
51,40.81758765s
45,40.872265866s
166,40.914776371s
76,41.025896923s
44,41.064660323s
31,41.096921115s
28,41.184890861s
38,41.282453703s
27,41.392824258s
29,41.44583378s
28,41.492806262s
42,41.534110398s
30,41.578655178s
28,41.650945048s
28,41.729814662s
33,41.780702315s
30,41.815063744s
48,41.843898032s
59,41.88022227s
43,41.910612968s
34,41.93963498s
31,41.967235068s
28,42.008807901s
43,42.038781938s
29,42.068907756s
31,42.097318421s
119,42.130799435s
30,42.2602135s
33,42.312817438s
37,42.348150112s
51,42.378920188s
63,42.408712777s
64,42.451280562s
125,42.480653804s
56,42.598296481s
67,42.630297948s
31,42.662560219s
45,42.692244707s
57,42.731235334s
68,42.775945036s
30,42.838159605s
149,42.907866849s
54,43.034277346s
67,43.091406857s
65,43.148345842s
88,43.195507963s
49,43.234182244s
228,43.294039164s
76,43.428625468s
48,43.470477516s
38,43.538847475s
158,43.596613142s
61,43.665233648s
64,43.726084535s
37,43.812295258s
38,43.867412837s
32,43.934350025s
36,44.000103729s
33,44.097214019s
43,44.171473513s
33,44.226402297s
35,44.260774223s
31,44.40772004s
41,44.480328073s
33,44.545541275s
35,44.585575554s
31,44.625534764s
88,44.657016318s
34,44.693031874s
45,44.726353636s
5992,44.770490969s
57,44.87110962s
27,44.912639201s
42,44.946012054s
57,44.97936119s
197,45.013039248s
78,45.091473621s
42,45.136061297s
58,45.177418155s
29,51.002946428s
125,51.073247679s
45,51.262399213s
26,51.304882226s
33,51.35621966s
29,51.554838266s
36,51.59935975s
28,51.681382631s
51,51.741624786s
28,51.770286378s
62,51.79905212s
28,51.853475622s
70,51.897266405s
28,51.942175098s
49,51.969439836s
47,52.001875381s
46,52.02980745s
28,52.060422489s
129,52.096002941s
63,52.238199811s
125,52.26683013s
61,52.394964351s
157,52.460227309s
54,52.579398121s
42,52.612895s
67,52.666932077s
101,52.696245952s
52,52.761308146s
159,52.789743551s
55,52.851812996s
62,52.885613939s
237,52.998739424s
55,53.12579514s
49,53.170960853s
53,53.24107995s
56,53.339304227s
412,53.388224143s
561,53.669798196s
103,53.722964582s
111,53.788007863s
91,53.900006148s
218,53.964344987s
169,54.014629304s
87,54.067865604s
48,54.120767547s
99,54.195174857s
78,54.260209031s
70,54.489758547s
88,55.097560069s
106,55.200877899s
65,55.284524448s
74,55.380826961s
66,55.595283022s
62,55.792194423s
110,55.83596888s
177,55.924960857s
66,56.174278719s
76,56.267236985s
304,56.359956732s
93,56.574856237s
65,56.63829885s
69,56.737803842s
67,56.81804157s
99,56.874437688s
42,56.930627035s
58,56.993055533s
53,57.071616116s
52,57.169179313s
39,57.258787193s
48,57.372599266s
111,57.469869207s
32,57.673770217s
44,57.773775699s
31,57.816433767s
39,57.874351177s
32,57.932286305s
59,57.980186958s
45,58.0231211s
38,58.060749709s
38,58.110188152s
173,58.150394317s
32,58.260501725s
40,58.291813039s
31,58.328035255s
37,58.365135698s
30,58.425819962s
45,58.467941447s
31,58.508186249s
38,58.547374566s
30,58.629569719s
45,58.676625996s
35,58.719343928s
43,58.75387694s
34,58.794239804s
54,58.824792285s
29,58.862292755s
38,58.89287637s
31,58.937429995s
42,58.96991047s
31,59.007674398s
34,59.039683149s
30,59.083356849s
43,59.11512102s
28,59.157917769s
35,59.197999273s
29,59.251331035s
49,59.283039726s
29,59.321248865s
37,59.351732357s
29,59.394238706s
135,59.425638085s
102,59.460582297s
79,59.56311843s
215,59.597688268s
100,59.706316113s
56,59.742624119s
79,59.773364493s
73,59.891684498s
225,59.938050148s
80,60.082948681s
5982,60.221228868s
35,60.29690925s
33,60.398051739s
116,60.449722427s
49,60.701148749s
52,60.764819157s
28,60.83734108s
91,60.916505041s
28,60.975579516s
60,66.889097146s
62,66.938670569s
38,66.979048457s
31,67.011696383s
206,67.040230816s
83,67.095230444s
214,67.123189463s
67,67.180915329s
437,67.224279499s
52,67.453400008s
137,67.506899845s
34,67.825104203s
77,68.007972967s
56,68.106909834s
27,68.226988595s
132,68.373077228s
46,68.434849378s
40,68.546990797s
28,68.582758817s
63,68.638765839s
26,68.669992494s
