6758,0ns
70,52s
60,52.091211009s
77,52.153055673s
57,52.21894153s
99,52.276660046s
52,52.338223347s
60,52.399151776s
56,52.457224342s
65,52.512083149s
58,52.581760499s
68,52.639292002s
59,52.693726724s
74,52.754985594s
57,52.820872472s
63,52.898508981s
62,52.955119256s
74,53.014783994s
66,53.111428072s
81,53.168126772s
64,53.225504331s
110,53.286457137s
69,53.349336135s
65,53.415802148s
60,53.475884645s
58,53.536979563s
50,53.608747277s
47,53.670305055s
45,53.731275457s
60,53.803504303s
40,53.874170531s
46,53.956333063s
44,54.02130915s
55,54.084552508s
45,54.193923062s
46,54.258985571s
44,54.322265438s
74,54.385066761s
39,54.443946927s
46,54.488881728s
46,54.531023864s
53,54.576953451s
49,54.636935968s
48,54.677017202s
48,54.726167273s
65,54.777818611s
46,54.828477002s
50,54.873214885s
47,54.917617192s
65,54.961199129s
58,55.034665068s
53,55.074231215s
58,55.123556255s
93,55.172253887s
73,55.225444202s
60,55.272330033s
60,55.321493224s
70,55.369741689s
59,55.432225943s
58,55.480424385s
55,55.529866252s
69,55.589121933s
43,55.653438012s
49,55.707249635s
42,55.762906614s
51,55.818267667s
49,55.911301554s
44,55.983775393s
47,56.045178793s
63,56.110459922s
40,56.175299589s
49,56.23155457s
41,56.289911229s
50,56.346291229s
44,56.414562532s
45,56.461874208s
41,56.510391584s
49,56.559119888s
41,56.608627004s
41,56.65390281s
41,56.69590919s
62,56.745625567s
47,56.806448173s
44,56.847773309s
44,56.897729206s
90,56.944340109s
48,56.99321012s
42,57.035980944s
42,57.078781615s
47,57.125301401s
42,57.174079776s
43,57.211950615s
42,57.257379665s
56,57.310903548s
39,57.365905453s
46,57.409650834s
44,57.450397099s
58,57.497181831s
43,57.585296093s
49,57.636577313s
41,57.676051427s
71,57.724022967s
41,57.768068598s
45,57.811567454s
50,57.855967136s
50,57.895249728s
43,57.950991059s
49,57.991242971s
45,58.04040624s
59,58.091209568s
43,58.142221929s
50,58.18531604s
45,58.2330255s
65,58.278663649s
58,58.345924265s
56,58.390666722s
52,58.434173364s
102,58.485478714s
80,58.534569878s
66,58.579912097s
66,58.627513748s
85,58.676239508s
60,58.730715927s
64,58.778293864s
63,58.826998095s
73,58.887090195s
66,58.94904413s
68,59.00420626s
69,59.057503329s
71,59.119162188s
2876,59.213023487s
47,59.290702731s
54,59.356779318s
70,59.425986123s
32,59.508755729s
37,59.570424055s
30,59.634255853s
40,59.699563443s
30,59.773319748s
35,59.83879571s
29,59.911564691s
43,59.978039932s
29,62.836287943s
36,62.920316804s
29,62.970232956s
50,63.02329951s
34,63.093085861s
39,63.128429291s
36,63.162994481s
69,63.197253448s
30,63.23548229s
35,63.26515397s
30,63.300254554s
40,63.331975096s
30,63.373475302s
35,63.404320769s
30,63.438411911s
43,63.481595922s
29,63.523727641s
37,63.555448076s
