6085,0ns
55,30s
60,30.638092003s
71,30.700096871s
54,30.764357067s
65,30.830996062s
63,30.893486992s
124,30.952291895s
49,31.005719105s
61,31.091835904s
53,31.164864306s
84,31.218147222s
61,31.276561366s
63,31.340295806s
57,31.404408757s
84,31.464927693s
57,31.525950739s
57,31.616282979s
64,31.711734302s
72,31.766833548s
60,31.824497884s
62,31.894938196s
59,31.964572013s
134,32.028854455s
70,32.091037567s
70,32.158555015s
68,32.229202752s
67,32.289370392s
48,32.349671058s
52,32.416896922s
53,32.482748882s
62,32.545013647s
34,32.606091686s
41,32.692378366s
40,32.801705172s
50,32.873214243s
40,32.945359902s
42,33.012757506s
42,33.070958803s
76,33.124568345s
35,33.178482061s
44,33.225328599s
46,33.281554477s
62,33.318068019s
47,33.358926783s
44,33.402625385s
46,33.452673454s
65,33.490643931s
41,33.536510447s
47,33.602656633s
47,33.671293701s
62,33.708669136s
40,33.752024243s
47,33.822941678s
45,33.879888375s
96,33.925687481s
67,33.971811139s
52,34.020886573s
53,34.079977492s
69,34.122458173s
61,34.173719279s
55,34.226385024s
58,34.276084687s
71,34.317598717s
40,34.367836734s
41,34.417780127s
38,34.507884544s
54,34.575041806s
35,34.627401582s
39,34.686213768s
37,34.75048362s
62,34.812510383s
31,34.871229698s
39,34.93008342s
31,34.996462614s
54,35.037668399s
35,35.078143523s
36,35.120298442s
33,35.173358516s
49,35.20929936s
28,35.248690114s
34,35.289914324s
27,35.346782397s
42,35.379708738s
30,35.4177209s
36,35.459382958s
31,35.505883338s
86,35.540172656s
41,35.575630373s
33,35.611630165s
33,35.658336038s
46,35.687967331s
40,35.721709783s
35,35.753650036s
33,35.792353419s
45,35.824252936s
29,35.859109699s
39,35.902650485s
30,35.978370218s
45,36.022129039s
32,36.053138156s
37,36.091390339s
31,36.135956109s
62,36.172821754s
29,36.208557961s
36,36.244713674s
31,36.287678455s
57,36.321340646s
43,36.35713286s
42,36.39274725s
41,36.432983859s
53,36.467797736s
36,36.503724857s
40,36.541094309s
38,36.596694279s
50,36.626980997s
41,36.66315208s
44,36.708238434s
42,36.76008349s
96,36.804296971s
70,36.841813211s
57,36.893252012s
60,36.937915724s
85,36.972967636s
49,37.014214604s
51,37.055315888s
49,37.104245451s
68,37.143913226s
46,37.192269329s
52,37.243817552s
50,37.331623674s
65,37.400663672s
51,37.462329626s
60,37.522690196s
54,37.598510074s
82,37.652817486s
33,37.704195318s
