0ns 1 0
21s 1 1
22s 1 2
23s 1 3
24s 1 4
26s 1 5
27s 1 6
29s 1 7
30s 1 8
32s 1 9
33s 1 10
34s 1 11
35s 1 12
36s 1 13
37s 1 14
40s 1 15
41s 1 16
42s 1 17
45s 1 18
46s 1 19
47s 1 20
48s 1 21
51s 1 22
52s 1 23
55s 1 24
56s 1 25
57s 1 26
62s 1 27
64s 1 28
65s 1 29
67s 1 30
68s 1 31
69s 1 32
72s 1 33
74s 1 34
75s 1 35
78s 1 36
79s 1 37
80s 1 38
85s 1 39
86s 1 40
87s 1 41
88s 1 42
91s 1 43
92s 1 44
95s 1 45
96s 1 46
99s 1 47
100s 1 48
101s 1 49
110s 1 50
111s 1 51
112s 1 52
117s 1 53
118s 1 54
119s 1 55
122s 1 56
125s 1 57
126s 1 58
127s 1 59
128s 1 60
131s 1 61
132s 1 62
