0ns 1 0
32s 1 1
33s 1 2
34s 1 3
35s 1 4
36s 1 5
37s 1 6
40s 1 7
41s 1 8
42s 1 9
43s 1 10
46s 1 11
47s 1 12
51s 1 13
52s 1 14
56s 1 15
57s 1 16
58s 1 17
60s 1 18
61s 1 19
64s 1 20
65s 1 21
66s 1 22
67s 1 23
68s 1 24
69s 1 25
74s 1 26
75s 1 27
79s 1 28
81s 1 29
82s 1 30
83s 1 31
84s 1 32
88s 1 33
89s 1 34
90s 1 35
93s 1 36
94s 1 37
100s 1 38
101s 1 39
102s 1 40
106s 1 41
107s 1 42
108s 1 43
114s 1 44
115s 1 45
119s 1 46
120s 1 47
121s 1 48
122s 1 49
134s 1 50
135s 1 51
136s 1 52
143s 1 53
144s 1 54
146s 1 55
154s 1 56
155s 1 57
156s 1 58
157s 1 59
162s 1 60
163s 1 61
164s 1 62
