0ns 1 0
50.041049467s 1 1
50.126602376s 1 2
50.187190818s 1 3
50.248866005s 1 4
50.429696505s 1 5
50.494986563s 1 6
50.550224189s 1 7
50.607071598s 1 8
50.671532206s 1 9
50.732025594s 1 10
50.78800932s 1 11
50.858231693s 1 12
50.928494814s 1 13
51.004818247s 1 14
51.072256628s 1 15
51.134239149s 1 16
51.208045526s 1 17
51.268070255s 1 18
51.321773691s 1 19
51.392218085s 1 20
51.459128404s 1 21
51.525181701s 1 22
51.592133502s 1 23
51.658188697s 1 24
51.736763461s 1 25
51.801697271s 1 26
51.872963859s 1 27
51.959503688s 1 28
52.046414059s 1 29
52.132601482s 1 30
52.220734932s 1 31
52.289378711s 1 32
52.361629906s 1 33
52.4233102s 1 34
52.485594138s 1 35
52.543809108s 1 36
52.740718332s 1 37
52.791133863s 1 38
52.835511793s 1 39
52.881227653s 1 40
52.925626181s 1 41
52.977690319s 1 42
53.122603757s 1 43
53.170335888s 1 44
53.216918977s 1 45
53.261983563s 1 46
53.30526217s 1 47
53.355165395s 1 48
53.40661046s 1 49
53.555513164s 1 50
53.602761914s 1 51
53.851317584s 1 52
53.912986708s 1 53
53.968867702s 1 54
54.029899039s 1 55
54.083682429s 1 56
54.136066149s 1 57
54.182818456s 1 58
54.242594631s 1 59
54.288574182s 1 60
54.327818943s 1 61
54.360242267s 1 62
54.397367023s 1 63
54.437443751s 1 64
54.479075958s 1 65
54.616030276s 1 66
54.653493018s 1 67
54.690975644s 1 68
54.724379891s 1 69
54.82728294s 1 70
54.859605612s 1 71
54.897154604s 1 72
54.92563761s 1 73
54.953474857s 1 74
55.000819709s 1 75
55.03764179s 1 76
55.077768552s 1 77
55.220429689s 1 78
55.256903234s 1 79
55.289927865s 1 80
55.322131268s 1 81
55.356963221s 1 82
55.387845977s 1 83
55.42074001s 1 84
55.455193967s 1 85
55.495890784s 1 86
55.531675393s 1 87
55.560995971s 1 88
55.598122252s 1 89
55.63480261s 1 90
55.674835572s 1 91
55.711369827s 1 92
55.759089241s 1 93
55.804194979s 1 94
55.842953451s 1 95
55.879607511s 1 96
55.923151131s 1 97
55.958119659s 1 98
55.998041543s 1 99
56.032629079s 1 100
56.075433488s 1 101
56.113566336s 1 102
56.152582402s 1 103
56.332482458s 1 104
56.518031085s 1 105
56.578390892s 1 106
56.631390092s 1 107
56.692233546s 1 108
56.847756729s 1 109
56.896354991s 1 110
56.948204102s 1 111
57.002472789s 1 112
57.05539853s 1 113
57.107931929s 1 114
57.158019372s 1 115
57.214123504s 1 116
57.262985323s 1 117
57.322316385s 1 118
57.373226687s 1 119
57.408026436s 1 120
57.515719505s 1 121
57.551920341s 1 122
57.578802756s 1 123
57.615580875s 1 124
57.646977781s 1 125
57.681371589s 1 126
57.709578029s 1 127
57.754057663s 1 128
57.783109184s 1 129
57.822323402s 1 130
57.850927534s 1 131
57.893998975s 1 132
58.010863384s 1 133
58.04186451s 1 134
58.077274086s 1 135
58.109592347s 1 136
58.144051087s 1 137
58.178789913s 1 138
58.220548811s 1 139
58.256748775s 1 140
58.29405957s 1 141
58.331326794s 1 142
58.363653181s 1 143
58.471128545s 1 144
58.56083802s 1 145
58.671342014s 1 146
58.73912385s 1 147
58.780001047s 1 148
58.816677558s 1 149
58.847763263s 1 150
58.877618715s 1 151
58.928708701s 1 152
58.965439424s 1 153
59.007186051s 1 154
59.043766792s 1 155
59.089954016s 1 156
59.162234166s 1 157
59.210785512s 1 158
59.260746362s 1 159
