0ns 1 0
133.312978859s 1 1
133.378067644s 1 2
133.440585966s 1 3
133.499235337s 1 4
133.571846564s 1 5
133.626111342s 1 6
133.683616845s 1 7
133.770325494s 1 8
133.804235196s 1 9
133.865595689s 1 10
133.920804677s 1 11
134.001559685s 1 12
134.055735537s 1 13
134.132863773s 1 14
134.237434658s 1 15
134.306616592s 1 16
134.341339354s 1 17
134.403890009s 1 18
134.462380918s 1 19
134.52123067s 1 20
134.590098209s 1 21
134.647934215s 1 22
134.709767182s 1 23
134.770798816s 1 24
134.837923207s 1 25
134.906464444s 1 26
134.970580638s 1 27
135.033837332s 1 28
135.119947133s 1 29
135.179151378s 1 30
135.254605396s 1 31
135.340160049s 1 32
135.418144097s 1 33
135.48800272s 1 34
135.547498557s 1 35
135.60880919s 1 36
135.659385584s 1 37
135.701394995s 1 38
135.74707772s 1 39
135.79108835s 1 40
135.833952236s 1 41
135.878562647s 1 42
135.918592981s 1 43
135.96493161s 1 44
136.010544113s 1 45
136.051966715s 1 46
136.100084127s 1 47
136.150528716s 1 48
136.201747617s 1 49
136.247136303s 1 50
136.29044871s 1 51
136.337081445s 1 52
136.386599615s 1 53
136.432547391s 1 54
136.480381824s 1 55
136.528243138s 1 56
136.576153554s 1 57
136.63267121s 1 58
136.685648383s 1 59
136.73586411s 1 60
137.020296864s 1 61
137.082369599s 1 62
137.143854838s 1 63
137.196965096s 1 64
137.251012865s 1 65
137.311227621s 1 66
137.360792251s 1 67
137.419074364s 1 68
137.464051374s 1 69
137.508719889s 1 70
137.551946744s 1 71
137.590246455s 1 72
137.622949382s 1 73
137.657914062s 1 74
137.786439362s 1 75
137.825982377s 1 76
137.86674851s 1 77
137.899712587s 1 78
138.014850638s 1 79
138.05723997s 1 80
138.086606422s 1 81
138.12192224s 1 82
138.160688245s 1 83
138.198904049s 1 84
138.233020171s 1 85
138.26843095s 1 86
138.40742394s 1 87
138.446415871s 1 88
138.485170492s 1 89
138.515679135s 1 90
138.545527443s 1 91
138.582501619s 1 92
138.614235439s 1 93
138.657870713s 1 94
138.688618163s 1 95
138.7267605s 1 96
138.764447362s 1 97
138.801915421s 1 98
138.838845071s 1 99
138.874003407s 1 100
138.9075175s 1 101
138.95980657s 1 102
138.991776019s 1 103
139.031664691s 1 104
139.070615777s 1 105
139.104454791s 1 106
139.142715717s 1 107
139.183767658s 1 108
139.218964551s 1 109
139.264066848s 1 110
139.304093329s 1 111
139.345154421s 1 112
139.532921962s 1 113
139.726033121s 1 114
139.78232906s 1 115
139.840333543s 1 116
139.905861431s 1 117
142.664225935s 1 118
142.723060885s 1 119
142.775556371s 1 120
142.831526382s 1 121
142.880937959s 1 122
142.93018005s 1 123
142.979477983s 1 124
143.031712732s 1 125
143.077152741s 1 126
143.148543252s 1 127
143.181617419s 1 128
143.221223637s 1 129
143.323877994s 1 130
143.361045606s 1 131
143.390053671s 1 132
143.430013827s 1 133
143.459022805s 1 134
143.489109304s 1 135
143.53428995s 1 136
143.569833522s 1 137
143.605328412s 1 138
143.646236679s 1 139
143.675654364s 1 140
143.737361962s 1 141
143.826939535s 1 142
143.860622643s 1 143
143.89093101s 1 144
143.922184066s 1 145
143.954618164s 1 146
143.995788026s 1 147
144.02578607s 1 148
144.06260993s 1 149
144.095932942s 1 150
144.132378927s 1 151
144.168448932s 1 152
144.279352275s 1 153
144.34949939s 1 154
144.454723443s 1 155
144.519314523s 1 156
144.552321441s 1 157
144.588438966s 1 158
144.623393525s 1 159
144.663336603s 1 160
144.701134008s 1 161
144.732939643s 1 162
144.771187384s 1 163
144.809543711s 1 164
144.8720213s 1 165
144.915345831s 1 166
144.955325084s 1 167
145.000778833s 1 168
145.038636242s 1 169
145.0755451s 1 170
145.106762421s 1 171
145.143065763s 1 172
145.17889341s 1 173
145.21444875s 1 174
145.251875582s 1 175
145.285554457s 1 176
145.323417579s 1 177
145.362131576s 1 178
145.397059736s 1 179
145.434816816s 1 180
145.482699706s 1 181
145.513510013s 1 182
145.553165436s 1 183
145.584639273s 1 184
145.625321524s 1 185
145.657552481s 1 186
145.693815451s 1 187
145.724004047s 1 188
145.769286171s 1 189
145.878644108s 1 190
145.917912416s 1 191
145.953924209s 1 192
145.999982742s 1 193
146.042555389s 1 194
146.126270557s 1 195
146.160305149s 1 196
146.202804593s 1 197
146.241642096s 1 198
146.284827391s 1 199
146.320422605s 1 200
146.369510984s 1 201
146.415438289s 1 202
146.46255464s 1 203
146.506825964s 1 204
146.555437708s 1 205
146.61222035s 1 206
146.657181856s 1 207
146.708590514s 1 208
146.757310046s 1 209
146.809658879s 1 210
146.879235612s 1 211
146.91529949s 1 212
146.968971144s 1 213
147.016896263s 1 214
147.069508517s 1 215
147.11942868s 1 216
147.169702234s 1 217
147.230716126s 1 218
147.286847018s 1 219
147.337844949s 1 220
147.388359863s 1 221
147.458724505s 1 222
147.519204916s 1 223
147.570719013s 1 224
147.777281764s 1 225
147.847924053s 1 226
147.925071583s 1 227
148.017016435s 1 228
148.094064209s 1 229
148.151504276s 1 230
148.214777285s 1 231
148.268878249s 1 232
148.34758546s 1 233
148.416689217s 1 234
148.496500455s 1 235
148.550039614s 1 236
148.618160334s 1 237
148.786840929s 1 238
148.861054925s 1 239
148.918381736s 1 240
148.984453445s 1 241
149.040962688s 1 242
149.101780407s 1 243
149.170362482s 1 244
149.220700279s 1 245
149.276813928s 1 246
149.340536289s 1 247
149.388932737s 1 248
149.454244379s 1 249
149.512085208s 1 250
149.561200131s 1 251
149.617682501s 1 252
149.692698376s 1 253
149.741346589s 1 254
149.821081471s 1 255
149.854087097s 1 256
149.895159204s 1 257
149.936426761s 1 258
149.975742082s 1 259
150.00650895s 1 260
150.045160122s 1 261
150.078288359s 1 262
150.120103812s 1 263
150.15235046s 1 264
150.190749326s 1 265
150.226002829s 1 266
150.266837208s 1 267
150.372296569s 1 268
150.418573542s 1 269
150.449499689s 1 270
150.48478993s 1 271
150.516694986s 1 272
150.555945437s 1 273
150.585894687s 1 274
150.62255588s 1 275
150.653974913s 1 276
150.695686996s 1 277
150.726288369s 1 278
150.76320345s 1 279
150.804064019s 1 280
150.839390682s 1 281
150.877706342s 1 282
150.923427199s 1 283
150.96374511s 1 284
151.048136635s 1 285
151.103754917s 1 286
151.170422086s 1 287
151.213767321s 1 288
151.264704792s 1 289
151.299711967s 1 290
151.3373228s 1 291
151.373001542s 1 292
151.407696128s 1 293
151.442365368s 1 294
151.477389889s 1 295
151.511832326s 1 296
151.549378767s 1 297
151.584531639s 1 298
151.618975993s 1 299
151.653393887s 1 300
151.70113873s 1 301
151.73163903s 1 302
151.768281488s 1 303
151.799536217s 1 304
151.836058514s 1 305
151.865525321s 1 306
151.902633214s 1 307
151.93384996s 1 308
152.043880131s 1 309
152.086151583s 1 310
152.125676764s 1 311
152.163035397s 1 312
152.206854529s 1 313
152.23846922s 1 314
152.308442719s 1 315
152.340202942s 1 316
152.378913977s 1 317
152.412560951s 1 318
152.443614598s 1 319
152.47561905s 1 320
152.502530117s 1 321
152.530352412s 1 322
152.56165958s 1 323
158.297769851s 1 324
