3659,0ns
846,27s
1001,31s
994,32s
1001,33s
1002,34s
994,35s
1014,36s
1001,37s
997,38s
1000,39s
999,40s
1020,41s
989,42s
1029,43s
979,44s
1011,45s
1027,46s
1003,47s
1006,48s
991,49s
1005,50s
994,51s
1003,52s
1085,53s
923,54s
1057,55s
969,56s
1004,57s
1049,58s
1040,59s
1000,60s
940,61s
972,62s
1015,63s
1165,64s
919,65s
1902,66s
1106,68s
1169,69s
910,70s
966,71s
985,72s
1021,73s
1055,74s
929,75s
990,76s
962,77s
1011,78s
1117,79s
1279,80s
904,81s
1085,82s
1011,83s
1192,84s
1108,85s
1173,86s
908,87s
273,88s
1864,89s
1103,90s
708,91s
1674,92s
2115,93s
1380,95s
983,96s
1702,97s
1264,99s
2522,100s
1251,101s
4161,103s
1626,105s
7295,106s
2853,111s
17506,112s
8780,119s
