6310,0ns
759,96s
1008,103s
994,104s
1005,105s
997,106s
1003,107s
999,108s
991,109s
1004,110s
999,111s
996,112s
999,113s
999,114s
1015,115s
987,116s
999,117s
995,118s
1000,119s
1001,120s
1008,121s
999,122s
998,123s
990,124s
1006,125s
993,126s
1009,127s
997,128s
995,129s
1004,130s
992,131s
1005,132s
995,133s
997,134s
1008,135s
998,136s
1004,137s
998,138s
997,139s
995,140s
998,141s
1010,142s
993,143s
1000,144s
1005,145s
996,146s
995,147s
998,148s
1003,149s
1005,150s
994,151s
1004,152s
996,153s
994,154s
1006,155s
993,156s
1000,157s
999,158s
1000,159s
999,160s
1007,161s
1001,162s
993,163s
996,164s
1007,165s
1001,166s
992,167s
1007,168s
998,169s
1004,170s
998,171s
990,172s
1007,173s
995,174s
1000,175s
1001,176s
994,177s
998,178s
1001,179s
1008,180s
993,181s
996,182s
1001,183s
1002,184s
1005,185s
998,186s
995,187s
1002,188s
993,189s
1009,190s
990,191s
997,192s
1001,193s
1004,194s
995,195s
1005,196s
994,197s
1001,198s
1001,199s
997,200s
1000,201s
998,202s
1004,203s
992,204s
2009,205s
997,207s
1001,208s
996,209s
994,210s
1006,211s
997,212s
1004,213s
991,214s
1000,215s
1001,216s
1000,217s
997,218s
1001,219s
1000,220s
1001,221s
999,222s
1001,223s
995,224s
996,225s
1004,226s
1007,227s
1000,228s
995,229s
997,230s
1002,231s
992,232s
1006,233s
998,234s
995,235s
995,236s
1007,237s
992,238s
1005,239s
998,240s
1002,241s
998,242s
1001,243s
995,244s
1000,245s
1001,246s
1003,247s
999,248s
991,249s
1001,250s
1007,251s
999,252s
993,253s
1002,254s
994,255s
1000,256s
1003,257s
1000,258s
1005,259s
1000,260s
996,261s
998,262s
994,263s
999,264s
1005,265s
994,266s
1003,267s
998,268s
996,269s
1004,270s
995,271s
1001,272s
1007,273s
992,274s
1004,275s
994,276s
1000,277s
1005,278s
999,279s
997,280s
999,281s
997,282s
1005,283s
1000,284s
991,285s
1009,286s
994,287s
1003,288s
1000,289s
991,290s
1006,291s
997,292s
997,293s
1007,294s
992,295s
1002,296s
1004,297s
992,298s
999,299s
1003,300s
995,301s
999,302s
998,303s
1006,304s
1004,305s
999,306s
990,307s
1002,308s
1002,309s
1002,310s
994,311s
1006,312s
992,313s
1005,314s
993,315s
998,316s
1004,317s
1004,318s
1000,319s
1000,320s
991,321s
1000,322s
1000,323s
1002,324s
996,325s
1000,326s
997,327s
1000,328s
1007,329s
992,330s
1000,331s
1004,332s
1002,333s
1000,334s
1000,335s
995,336s
1004,337s
1000,338s
998,339s
994,340s
996,341s
1007,342s
1003,343s
995,344s
996,345s
1002,346s
1002,347s
999,348s
998,349s
1002,350s
1000,351s
996,352s
996,353s
1000,354s
1004,355s
1003,356s
990,357s
1003,358s
1001,359s
987,360s
996,361s
1000,362s
1000,363s
1002,364s
995,365s
1006,366s
998,367s
997,368s
997,369s
998,370s
1008,371s
999,372s
992,373s
1001,374s
998,375s
1000,376s
1005,377s
997,378s
1001,379s
998,380s
1002,381s
994,382s
996,383s
1006,384s
992,385s
1006,386s
998,387s
1005,388s
997,389s
992,390s
1005,391s
1004,392s
993,393s
998,394s
1009,395s
992,396s
1006,397s
995,398s
997,399s
1000,400s
1001,401s
996,402s
998,403s
1003,404s
998,405s
1004,406s
1001,407s
996,408s
1002,409s
996,410s
1002,411s
996,412s
996,413s
998,414s
1004,415s
1000,416s
996,417s
1006,418s
993,419s
999,420s
996,421s
999,422s
1009,423s
999,424s
1001,425s
990,426s
1007,427s
996,428s
1003,429s
994,430s
1002,431s
1004,432s
996,433s
994,434s
1006,435s
992,436s
1007,437s
1001,438s
1001,439s
998,440s
994,441s
1003,442s
1002,443s
994,444s
997,445s
1002,446s
998,447s
1001,448s
1005,449s
998,450s
994,451s
999,452s
1007,453s
992,454s
1000,455s
997,456s
1010,457s
999,458s
1000,459s
991,460s
1006,461s
998,462s
1000,463s
999,464s
996,465s
1005,466s
990,467s
1009,468s
1000,469s
991,470s
1001,471s
1005,472s
995,473s
1002,474s
998,475s
990,476s
1011,477s
991,478s
999,479s
1004,480s
995,481s
1005,482s
995,483s
999,484s
1003,485s
996,486s
1007,487s
1000,488s
993,489s
1000,490s
998,491s
1000,492s
995,493s
1009,494s
999,495s
998,496s
996,497s
1005,498s
995,499s
993,500s
1007,501s
997,502s
994,503s
1004,504s
996,505s
1002,506s
995,507s
1003,508s
1000,509s
997,510s
996,511s
999,512s
1008,513s
995,514s
1003,515s
991,516s
1002,517s
998,518s
1008,519s
995,520s
998,521s
996,522s
998,523s
1009,524s
997,525s
999,526s
1001,527s
997,528s
1001,529s
1057,530s
934,531s
1002,532s
1002,533s
998,534s
1001,535s
997,536s
1005,537s
995,538s
995,539s
1011,540s
996,541s
1000,542s
997,543s
1002,544s
994,545s
1005,546s
999,547s
995,548s
1002,549s
1002,550s
996,551s
999,552s
1004,553s
1001,554s
1000,555s
989,556s
1003,557s
1007,558s
989,559s
1001,560s
1009,561s
992,562s
998,563s
995,564s
1009,565s
999,566s
997,567s
997,568s
997,569s
1005,570s
996,571s
1004,572s
995,573s
1001,574s
997,575s
995,576s
998,577s
1003,578s
1002,579s
998,580s
999,581s
1001,582s
1002,583s
998,584s
1004,585s
998,586s
992,587s
1001,588s
1004,589s
996,590s
997,591s
1001,592s
1003,593s
996,594s
1000,595s
1000,596s
997,597s
1006,598s
995,599s
998,600s
1000,601s
997,602s
1008,603s
994,604s
993,605s
1008,606s
999,607s
990,608s
1003,609s
999,610s
1004,611s
1003,612s
990,613s
1011,614s
995,615s
991,616s
1003,617s
1005,618s
992,619s
1001,620s
999,621s
1001,622s
999,623s
995,624s
1002,625s
1007,626s
998,627s
996,628s
993,629s
1007,630s
994,631s
1007,632s
997,633s
1000,634s
993,635s
998,636s
1002,637s
1004,638s
997,639s
997,640s
996,641s
1003,642s
998,643s
1001,644s
1004,645s
995,646s
1003,647s
996,648s
999,649s
998,650s
1002,651s
997,652s
1002,653s
960,654s
995,655s
1004,656s
998,657s
998,658s
1007,659s
994,660s
1000,661s
998,662s
1004,663s
1000,664s
999,665s
996,666s
994,667s
1012,668s
